id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
google.com,1,1,2597885115,3.9819,0.4006,https://static.semrush.com/power-pages/media/favicons/google-com-favicon-f3418a44.ico,Google
youtube.com,2,1,1860494088,5.3993,0.3596,https://static.semrush.com/power-pages/media/favicons/youtube-com-favicon-88b01f68.png,YouTube
syosetu.org,3,0,908129618,1.2739,0.775,,
facebook.com,4,0,305789873,4.0065,0.3965,https://static.semrush.com/power-pages/media/favicons/facebook-com-favicon-d2850d31.ico,Facebook
amazon.in,5,1,215838065,6.0253,0.3737,https://static.semrush.com/power-pages/media/favicons/amazon-in-favicon-f2391664.jpg,Amazon India
wikipedia.org,6,-1,199546069,1.9906,0.6249,https://static.semrush.com/power-pages/media/favicons/wikipedia-org-favicon-904ce6bd.ico,Wikipedia
google.co.in,7,2,178136126,3.2215,0.4594,,Google India
readmanganato.com,8,-1,164320171,6.5022,0.2994,,
instagram.com,9,2,137642272,2.7151,0.5455,https://static.semrush.com/power-pages/media/favicons/instagram-com-favicon-b407fa10.png,Instagram
cricbuzz.com,10,-2,121902298,4.8421,0.3022,https://static.semrush.com/power-pages/media/favicons/cricbuzz-com-favicon-5a4ece68.png,Cricbuzz
whatsapp.com,11,4,111476595,1.6404,0.7028,,WhatsApp
yahoo.com,12,4,105946709,2.6885,0.4887,,Yahoo
flipkart.com,13,0,101484590,2.7114,0.5575,,Flipkart
twitter.com,14,-2,98950417,2.8301,0.6546,https://static.semrush.com/power-pages/media/favicons/twitter-com-favicon-8ea219d0.png,Twitter
quora.com,15,2,88394702,1.7669,0.664,,Quora
googleapis.com,16,-2,80093243,1.4993,0.8156,,
indiatimes.com,17,7,75707028,2.9262,0.6283,https://static.semrush.com/power-pages/media/favicons/indiatimes-com-favicon-0481260b.png,Indiatimes
linkedin.com,18,5,74360764,3.0388,0.4727,https://static.semrush.com/power-pages/media/favicons/linkedin-com-favicon-b2ccd167.ico,Linkedin
googlesyndication.com,19,-1,72603560,1.6508,0.6654,,
primevideo.com,20,0,72053571,2.4991,0.4621,https://static.semrush.com/power-pages/media/favicons/primevideo-com-favicon-7e8458b9.png,Prime Video
