id,position,change,visits,pages_per_visit,bounce_rate,favicon
office.com,1,0,76792043,2.3144,0.5564,https://static.semrush.com/power-pages/media/favicons/office-com-favicon-8f211ea6.ico
zoom.us,2,0,58185370,2.9617,0.388,https://static.semrush.com/power-pages/media/favicons/zoom-us-favicon-6216d0f4.ico
stackoverflow.com,3,0,58019606,1.4859,0.7727,https://static.semrush.com/power-pages/media/favicons/stackoverflow-com-favicon-d2a17223.ico
geeksforgeeks.org,4,0,29448292,1.7907,0.7308,https://static.semrush.com/power-pages/media/favicons/geeksforgeeks-org-favicon-3af42414.png
github.com,5,0,24730404,3.5867,0.4999,https://static.semrush.com/power-pages/media/favicons/github-com-favicon-346e0947.png
medium.com,6,0,24085233,1.6243,0.736,https://static.semrush.com/power-pages/media/favicons/medium-com-favicon-18758d01.png
ilovepdf.com,7,3,24074602,4.3782,0.1716,https://static.semrush.com/power-pages/media/favicons/ilovepdf-com-favicon-e7f31a42.png
smallpdf.com,8,-1,23405187,2.0936,0.5658,https://static.semrush.com/power-pages/media/favicons/smallpdf-com-favicon-a829122e.ico
udemy.com,9,-1,21618436,3.7951,0.4539,https://static.semrush.com/power-pages/media/favicons/udemy-com-favicon-21d92c84.png
savefrom.net,10,-1,20889238,2.1253,0.6335,https://static.semrush.com/power-pages/media/favicons/savefrom-net-favicon-198e4446.ico
adobe.com,11,0,19311025,2.3348,0.5739,https://static.semrush.com/power-pages/media/favicons/adobe-com-favicon-9940bec6.png
stackexchange.com,12,0,16937833,1.284,0.8294,https://static.semrush.com/power-pages/media/favicons/stackexchange-com-favicon-52965f0b.ico
w3schools.com,13,2,15498686,3.6528,0.5287,
canva.com,14,2,15072660,3.9685,0.3086,
salesforce.com,15,-2,15032764,5.3211,0.3992,https://static.semrush.com/power-pages/media/favicons/salesforce-com-favicon-ccda8df0.ico
wordpress.com,16,-2,14740353,2.2841,0.6538,https://static.semrush.com/power-pages/media/favicons/wordpress-com-favicon-f9797465.png
tutorialspoint.com,17,0,13120131,1.9888,0.7223,
wetransfer.com,18,0,11671251,2.2139,0.5255,https://static.semrush.com/power-pages/media/favicons/wetransfer-com-favicon-bc5b180f.png
ibm.com,19,0,10224091,3.8955,0.5073,
oracle.com,20,0,9939848,4.4137,0.4126,https://static.semrush.com/power-pages/media/favicons/oracle-com-favicon-a59d7f00.ico
