id,position,change,visits,pages_per_visit,bounce_rate,favicon
amazon.in,1,0,282332382,6.8794,0.3754,https://static.semrush.com/power-pages/media/favicons/amazon-in-favicon-f2391664.jpg
flipkart.com,2,0,115988087,6.0328,0.4267,
myntra.com,3,1,40608664,9.4328,0.3563,
indiamart.com,4,-1,38716628,2.4656,0.5287,https://static.semrush.com/power-pages/media/favicons/indiamart-com-favicon-78734541.jpg
samsung.com,5,0,32936874,2.3868,0.6269,https://static.semrush.com/power-pages/media/favicons/samsung-com-favicon-fe8c4b2a.png
goodreads.com,6,0,14090086,2.9312,0.6071,https://static.semrush.com/power-pages/media/favicons/goodreads-com-favicon-d409fae1.png
ikea.com,7,0,7908993,6.2766,0.4294,
hp.com,8,0,7219613,3.0852,0.4728,
unsplash.com,9,1,5094131,2.3637,0.65,https://static.semrush.com/power-pages/media/favicons/unsplash-com-favicon-4a8a2573.png
amazon.co.uk,10,-1,5022172,5.6984,0.4595,https://static.semrush.com/power-pages/media/favicons/amazon-co-uk-favicon-ca6619b8.ico
etsy.com,11,0,4717988,4.4101,0.4978,https://static.semrush.com/power-pages/media/favicons/etsy-com-favicon-334646ad.ico
zara.com,12,2,4394390,10.8738,0.4047,https://static.semrush.com/power-pages/media/favicons/zara-com-favicon-c65ba3c7.png
nike.com,13,0,4271907,4.5466,0.386,https://static.semrush.com/power-pages/media/favicons/nike-com-favicon-5224fe86.png
lg.com,14,3,4112816,2.2515,0.6008,https://static.semrush.com/power-pages/media/favicons/lg-com-favicon-07d6731d.png
aliexpress.com,15,-3,3972939,5.1263,0.4274,
hm.com,16,0,3888145,7.4628,0.3493,https://static.semrush.com/power-pages/media/favicons/hm-com-favicon-1732fb0a.png
ebay.com,17,-2,3733612,3.9239,0.5284,https://static.semrush.com/power-pages/media/favicons/ebay-com-favicon-67c7209c.png
asus.com,18,1,2839725,2.9739,0.5009,
ebay.co.uk,19,1,2344802,6.3866,0.4059,https://static.semrush.com/power-pages/media/favicons/ebay-co-uk-favicon-67c7209c.png
mangakakalot.com,20,1,2187656,8.5186,0.288,https://static.semrush.com/power-pages/media/favicons/mangakakalot-com-favicon-ee8fcad9.ico
