id,position,change,visits,pages_per_visit,bounce_rate,favicon
youtube.com,1,0,584480394,4.1843,0.4587,https://static.semrush.com/power-pages/media/favicons/youtube-com-favicon-88b01f68.png
wikipedia.org,2,0,333351006,2.0837,0.6579,https://static.semrush.com/power-pages/media/favicons/wikipedia-org-favicon-904ce6bd.ico
instagram.com,3,0,303562097,8.3594,0.4032,https://static.semrush.com/power-pages/media/favicons/instagram-com-favicon-b407fa10.png
indiatimes.com,4,1,150291493,2.3938,0.704,https://static.semrush.com/power-pages/media/favicons/indiatimes-com-favicon-0481260b.png
twitter.com,5,-1,147930368,4.6464,0.4186,https://static.semrush.com/power-pages/media/favicons/twitter-com-favicon-8ea219d0.png
moneycontrol.com,6,1,125670363,3.9962,0.53,
ndtv.com,7,-1,125218416,1.9704,0.6256,https://static.semrush.com/power-pages/media/favicons/ndtv-com-favicon-20176db8.png
hindustantimes.com,8,0,100685804,1.5564,0.6991,
india.com,9,2,81668477,1.8238,0.7025,https://static.semrush.com/power-pages/media/favicons/india-com-favicon-1c4a5a6c.png
indianexpress.com,10,2,78822753,1.8572,0.7052,https://static.semrush.com/power-pages/media/favicons/indianexpress-com-favicon-a730a1af.png
news18.com,11,-1,73666957,1.9852,0.6836,
indiatoday.in,12,1,66032039,1.5049,0.7588,
timesofindia.com,13,-4,58638954,1.9986,0.6655,https://static.semrush.com/power-pages/media/favicons/timesofindia-com-favicon-5c3a4ecc.ico
livemint.com,14,0,49475879,1.5881,0.7122,https://static.semrush.com/power-pages/media/favicons/livemint-com-favicon-eafebef0.png
thehindu.com,15,0,39734953,1.7972,0.717,https://static.semrush.com/power-pages/media/favicons/thehindu-com-favicon-9e862ae3.png
imdb.com,16,1,37594231,3.1377,0.5119,https://static.semrush.com/power-pages/media/favicons/imdb-com-favicon-0f70e9b9.png
eenadu.net,17,-1,35972778,5.1248,0.2939,https://static.semrush.com/power-pages/media/favicons/eenadu-net-favicon-04d465b9.jpg
oneindia.com,18,0,33148904,2.6271,0.5447,https://static.semrush.com/power-pages/media/favicons/oneindia-com-favicon-58c9b0eb.png
bbc.com,19,1,22798988,2.4737,0.5571,https://static.semrush.com/power-pages/media/favicons/bbc-com-favicon-65d5fda0.jpg
manoramaonline.com,20,1,22334068,3.5807,0.381,https://static.semrush.com/power-pages/media/favicons/manoramaonline-com-favicon-ba2f3d0b.png
