id,position,change,visits,pages_per_visit,bounce_rate,favicon
googleusercontent.com,1,0,4169421,2.8009,0.5608,
linktr.ee,2,0,2973225,1.834,0.7402,https://static.semrush.com/power-pages/media/favicons/linktr-ee-favicon-29afac0e.png
doubleclick.net,3,0,1675212,2.3708,0.6322,https://static.semrush.com/power-pages/media/favicons/doubleclick-net-favicon-bf09e67f.png
blogger.com,4,0,1383833,3.66,0.516,
taboola.com,5,1,1034866,1.2523,0.8277,
criteo.com,6,-1,854490,1.3678,0.8115,https://static.semrush.com/power-pages/media/favicons/criteo-com-favicon-000bf649.ico
crowdtangle.com,7,10,746760,2.8,0.2762,https://static.semrush.com/power-pages/media/favicons/www-crowdtangle-com-favicon-664be87a.ico
fb.com,8,-1,367857,1.1938,0.8609,https://static.semrush.com/power-pages/media/favicons/fb-com-favicon-d2850d31.ico
semrush.com,9,1,159997,3.5827,0.3415,https://static.semrush.com/power-pages/media/favicons/semrush-favicon-3cd418d5bb49.ico
mailchimp.com,10,-1,149307,3.2542,0.5085,https://static.semrush.com/power-pages/media/favicons/mailchimp-com-favicon-8969a0a6.ico
popads.net,11,-3,149229,3.6476,0.4455,https://static.semrush.com/power-pages/media/favicons/popads-net-favicon-a3bf2561.ico
ahrefs.com,12,0,124837,4.2119,0.3547,https://static.semrush.com/power-pages/media/favicons/ahrefs-com-favicon-3cced242.png
alexa.com,13,-2,90645,2.5194,0.4264,https://static.semrush.com/power-pages/media/favicons/alexa-com-favicon-ed9bb105.png
later.com,14,4,52458,2.9166,0.5177,https://static.semrush.com/power-pages/media/favicons/later-com-favicon-f98c7f0b.ico
statcounter.com,15,-2,40046,2.5469,0.4355,https://static.semrush.com/power-pages/media/favicons/statcounter-com-favicon-39b02e88.png
moz.com,16,-2,37695,2.2611,0.5684,https://static.semrush.com/power-pages/media/favicons/moz-com-favicon-c591e86b.ico
getresponse.com,17,2,32010,2.5095,0.6599,https://static.semrush.com/power-pages/media/favicons/getresponse-com-favicon-34c4c40a.png
strikingly.com,18,-3,30009,1.4579,0.8521,https://static.semrush.com/power-pages/media/favicons/www-strikingly-com-favicon-b23ae48b.ico
webinarjam.com,19,1,25394,2.8393,0.4018,
convertkit.com,20,-4,24524,1.9727,0.7587,
