id,position,change,visits,pages_per_visit,bounce_rate,favicon
zoom.us,1,0,18647399,2.6049,0.3728,https://static.semrush.com/power-pages/media/favicons/zoom-us-favicon-6216d0f4.ico
ilovepdf.com,2,1,9135755,4.0084,0.1436,https://static.semrush.com/power-pages/media/favicons/ilovepdf-com-favicon-e7f31a42.png
wordpress.com,3,-1,8073329,2.0464,0.7131,https://static.semrush.com/power-pages/media/favicons/wordpress-com-favicon-f9797465.png
savefrom.net,4,1,7905195,2.5123,0.5541,https://static.semrush.com/power-pages/media/favicons/savefrom-net-favicon-198e4446.ico
canva.com,5,-1,7715485,3.9315,0.3013,
smallpdf.com,6,0,6317473,2.9016,0.3844,https://static.semrush.com/power-pages/media/favicons/smallpdf-com-favicon-a829122e.ico
stackoverflow.com,7,1,4494609,1.4511,0.7741,https://static.semrush.com/power-pages/media/favicons/stackoverflow-com-favicon-d2a17223.ico
telegram.org,8,-1,4308826,1.9718,0.639,
office.com,9,0,3645443,2.0423,0.6969,https://static.semrush.com/power-pages/media/favicons/office-com-favicon-8f211ea6.ico
medium.com,10,1,3412049,1.477,0.7617,https://static.semrush.com/power-pages/media/favicons/medium-com-favicon-18758d01.png
mediafire.com,11,-1,3113801,2.28,0.5664,
apkpure.com,12,1,3043608,3.168,0.411,https://static.semrush.com/power-pages/media/favicons/apkpure-com-favicon-d4fe6470.ico
github.com,13,-1,2497955,3.6563,0.5272,https://static.semrush.com/power-pages/media/favicons/github-com-favicon-346e0947.png
adobe.com,14,0,2149393,2.2992,0.6395,https://static.semrush.com/power-pages/media/favicons/adobe-com-favicon-9940bec6.png
uptodown.com,15,0,1963395,2.1903,0.4416,https://static.semrush.com/power-pages/media/favicons/uptodown-com-favicon-55d57fe9.ico
w3schools.com,16,1,1283368,2.999,0.5266,
stackexchange.com,17,5,1195833,1.2411,0.8433,https://static.semrush.com/power-pages/media/favicons/stackexchange-com-favicon-52965f0b.ico
mozilla.org,18,3,1163493,1.6844,0.7391,https://static.semrush.com/power-pages/media/favicons/mozilla-org-favicon-2af054fe.png
discord.com,19,-1,1089024,1.8412,0.5816,https://static.semrush.com/power-pages/media/favicons/discord-com-favicon-07dca80a.ico
paypal.com,20,-1,956896,5.4923,0.3853,https://static.semrush.com/power-pages/media/favicons/paypal-com-favicon-ed31bc43.png
