id,position,change,visits,pages_per_visit,bounce_rate,favicon
alodokter.com,1,0,15982289,1.5188,0.7497,https://static.semrush.com/power-pages/media/favicons/alodokter-com-favicon-edaba8ad.png
nih.gov,2,0,2746349,2.4587,0.6333,https://static.semrush.com/power-pages/media/favicons/nih-gov-favicon-6c30e540.ico
sciencedirect.com,3,0,2055307,2.4192,0.6135,
healthline.com,4,0,940300,1.7861,0.7321,
springer.com,5,0,676842,1.8593,0.7245,https://static.semrush.com/power-pages/media/favicons/springer-com-favicon-861e460c.jpg
webmd.com,6,0,627178,1.3754,0.7766,
mayoclinic.org,7,2,529559,1.2644,0.8395,
medscape.com,8,0,473486,2.8222,0.53,https://static.semrush.com/power-pages/media/favicons/medscape-com-favicon-d7be632c.ico
www.nhs.uk,9,2,440851,1.4639,0.773,https://static.semrush.com/power-pages/media/favicons/www-nhs-uk-favicon-43924bfe.png
who.int,10,0,403282,2.195,0.6541,https://static.semrush.com/power-pages/media/favicons/who-int-favicon-031d7a3d.ico
nature.com,11,1,401342,1.5239,0.7286,https://static.semrush.com/power-pages/media/favicons/nature-com-favicon-f39cb194.png
medicalnewstoday.com,12,1,373777,1.3312,0.8357,https://static.semrush.com/power-pages/media/favicons/medicalnewstoday-com-favicon-28e75580.png
drugs.com,13,2,265790,1.8649,0.7443,https://static.semrush.com/power-pages/media/favicons/drugs-com-favicon-27cb02f1.png
cdc.gov,14,0,239791,1.7821,0.7242,https://static.semrush.com/power-pages/media/favicons/cdc-gov-favicon-8f23f529.ico
tomsguide.com,15,1,234795,1.4754,0.7858,https://static.semrush.com/power-pages/media/favicons/tomsguide-com-favicon-a9a9968c.ico
menshealth.com,16,1,172785,1.3644,0.7858,https://static.semrush.com/power-pages/media/favicons/menshealth-com-favicon-9165b408.ico
fitbit.com,17,1,41331,1.8548,0.5917,https://static.semrush.com/power-pages/media/favicons/fitbit-com-favicon-c6aa1bcf.png
ameli.fr,18,1,20462,1.8889,0.4444,https://static.semrush.com/power-pages/media/favicons/ameli-fr-favicon-64939eca.ico
mhlw.go.jp,19,2,14630,27.0,0.2857,
va.gov,20,3,9029,1.0,1.0,
