id,position,change,visits,pages_per_visit,bounce_rate,favicon
google.com,1,0,548363402,6.1634,0.3092,https://static.semrush.com/power-pages/media/favicons/google-com-favicon-f3418a44.ico
youtube.com,2,0,164389401,4.9766,0.4204,https://static.semrush.com/power-pages/media/favicons/youtube-com-favicon-88b01f68.png
facebook.com,3,0,99355207,6.9446,0.3729,https://static.semrush.com/power-pages/media/favicons/facebook-com-favicon-d2850d31.ico
tribunnews.com,4,0,88799167,2.8953,0.4957,https://static.semrush.com/power-pages/media/favicons/tribunnews-com-favicon-d30a1d2c.png
wikipedia.org,5,1,61700954,2.1567,0.6679,https://static.semrush.com/power-pages/media/favicons/wikipedia-org-favicon-904ce6bd.ico
kompas.com,6,-1,57036438,2.7113,0.5486,https://static.semrush.com/power-pages/media/favicons/kompas-com-favicon-7449d263.ico
shopee.co.id,7,1,32852275,4.6167,0.4905,https://static.semrush.com/power-pages/media/favicons/shopee-co-id-favicon-c5618c85.ico
tokopedia.com,8,1,31898402,3.4477,0.5147,
twitter.com,9,2,29588960,8.2488,0.4353,https://static.semrush.com/power-pages/media/favicons/twitter-com-favicon-8ea219d0.png
onelink.me,10,-3,27849244,1.292,0.8317,https://static.semrush.com/power-pages/media/favicons/onelink-me-favicon-bd618ca5.ico
instagram.com,11,-1,25326801,5.436,0.4994,https://static.semrush.com/power-pages/media/favicons/instagram-com-favicon-b407fa10.png
yahoo.com,12,0,19889646,3.7636,0.4786,
suara.com,13,0,19420856,1.5865,0.7133,https://static.semrush.com/power-pages/media/favicons/suara-com-favicon-b24196d4.png
whatsapp.com,14,0,17933696,1.5726,0.7151,
grid.id,15,1,17540520,2.1594,0.6408,https://static.semrush.com/power-pages/media/favicons/grid-id-favicon-217e671a.png
fandom.com,16,-1,16462358,3.6202,0.5091,https://static.semrush.com/power-pages/media/favicons/fandom-com-favicon-333b1223.png
scribd.com,17,0,12391235,1.9207,0.6525,https://static.semrush.com/power-pages/media/favicons/scribd-com-favicon-c72e3110.ico
lazada.co.id,18,1,12327860,5.4918,0.4462,https://static.semrush.com/power-pages/media/favicons/www-lazada-co-id-favicon-01aa976b.ico
blibli.com,19,3,12229826,2.54,0.6482,
kontan.co.id,20,-2,11663373,3.1056,0.475,https://static.semrush.com/power-pages/media/favicons/kontan-co-id-favicon-5658cf72.ico
