id,position,change,visits,pages_per_visit,bounce_rate,favicon
traveloka.com,1,0,8539387,3.0427,0.5097,https://static.semrush.com/power-pages/media/favicons/traveloka-com-favicon-aee127cd.ico
booking.com,2,0,3798757,5.4027,0.4048,https://static.semrush.com/power-pages/media/favicons/booking-com-favicon-faedfe66.ico
tripadvisor.com,3,0,2501653,2.196,0.6395,https://static.semrush.com/power-pages/media/favicons/tripadvisor-com-favicon-34583147.png
agoda.com,4,0,2126253,3.7062,0.4077,https://static.semrush.com/power-pages/media/favicons/agoda-com-favicon-d79c3f25.ico
airbnb.com,5,1,527890,3.8935,0.5262,
hotels.com,6,1,476069,3.0532,0.5736,
marriott.com,7,1,344169,2.5661,0.5923,https://static.semrush.com/power-pages/media/favicons/marriott-com-favicon-ae4adb29.png
irctc.co.in,8,-3,323659,2.0415,0.4564,
tripadvisor.fr,9,11,308428,2.8872,0.5644,https://static.semrush.com/power-pages/media/favicons/www-tripadvisor-fr-favicon-34583147.png
emirates.com,10,0,220155,5.5074,0.3922,https://static.semrush.com/power-pages/media/favicons/emirates-com-favicon-07b3fc7d.png
trip.com,11,0,196581,3.0823,0.4073,https://static.semrush.com/power-pages/media/favicons/trip-com-favicon-8230f336.ico
qatarairways.com,12,-3,187318,5.9173,0.2519,https://static.semrush.com/power-pages/media/favicons/qatarairways-com-favicon-6e9459bd.ico
makemytrip.com,13,-1,186313,3.2631,0.3552,
hilton.com,14,-1,172968,1.7554,0.702,
rome2rio.com,15,1,137398,2.0552,0.4909,https://static.semrush.com/power-pages/media/favicons/www-rome2rio-com-favicon-159fe5dc.png
expedia.com,16,-2,131341,2.4347,0.4889,https://static.semrush.com/power-pages/media/favicons/expedia-com-favicon-8ba62c32.ico
united.com,17,-2,118393,1.2167,0.8354,
viator.com,18,0,109879,2.9856,0.5056,https://static.semrush.com/power-pages/media/favicons/www-viator-com-favicon-4b50a643.ico
ihg.com,19,-2,107627,2.899,0.3918,
kayak.com,20,-1,87485,2.3033,0.7319,https://static.semrush.com/power-pages/media/favicons/www-kayak-com-favicon-244acd6c.png
