id,position,change,visits,pages_per_visit,bounce_rate,favicon
taboola.com,1,0,23762943,1.4378,0.7435,
criteo.com,2,0,8950408,1.6566,0.7008,https://static.semrush.com/power-pages/media/favicons/criteo-com-favicon-000bf649.ico
googleusercontent.com,3,1,5368151,1.8661,0.6785,
doubleclick.net,4,-1,5219055,1.2276,0.8594,https://static.semrush.com/power-pages/media/favicons/doubleclick-net-favicon-bf09e67f.png
popads.net,5,0,3199440,2.1622,0.5718,https://static.semrush.com/power-pages/media/favicons/popads-net-favicon-a3bf2561.ico
linktr.ee,6,1,889466,1.8208,0.7059,https://static.semrush.com/power-pages/media/favicons/linktr-ee-favicon-29afac0e.png
blogger.com,7,2,638647,3.2363,0.5191,
mailchimp.com,8,0,536832,6.25,0.3131,https://static.semrush.com/power-pages/media/favicons/mailchimp-com-favicon-8969a0a6.ico
fb.com,9,1,529037,1.3983,0.8137,https://static.semrush.com/power-pages/media/favicons/fb-com-favicon-d2850d31.ico
kartra.com,10,1,250121,4.7811,0.4861,
semrush.com,11,1,178119,3.0691,0.477,https://static.semrush.com/power-pages/media/favicons/semrush-favicon-3cd418d5bb49.ico
getresponse.com,12,1,170495,2.3911,0.6386,https://static.semrush.com/power-pages/media/favicons/getresponse-com-favicon-34c4c40a.png
nielsen.com,13,1,154429,4.9093,0.4997,https://static.semrush.com/power-pages/media/favicons/nielsen-com-favicon-f5db012c.png
convertkit.com,14,1,81345,3.4066,0.513,
statcounter.com,15,7,55849,2.5848,0.3575,https://static.semrush.com/power-pages/media/favicons/statcounter-com-favicon-39b02e88.png
exacttarget.com,16,0,49685,2.6873,0.6527,https://static.semrush.com/power-pages/media/favicons/exacttarget-com-favicon-ccda8df0.ico
crowdtangle.com,17,1,39452,2.9495,0.3636,https://static.semrush.com/power-pages/media/favicons/www-crowdtangle-com-favicon-664be87a.ico
webinarjam.com,18,2,29785,3.6777,0.3193,
moz.com,19,2,28390,2.9753,0.5985,https://static.semrush.com/power-pages/media/favicons/moz-com-favicon-c591e86b.ico
knoji.com,20,-3,25395,1.9884,0.4971,https://static.semrush.com/power-pages/media/favicons/knoji-com-favicon-2f294e79.ico
