id,position,change,visits,pages_per_visit,bounce_rate,favicon
staseraintv.com,1,0,28587074,3.8011,0.5247,https://static.semrush.com/power-pages/media/favicons/staseraintv-com-favicon-b79a6527.png
netflix.com,2,0,18196770,1.9336,0.6664,https://static.semrush.com/power-pages/media/favicons/netflix-com-favicon-41b45fdc.ico
bing.com,3,0,13075955,4.7777,0.4534,
mymovies.it,4,1,10134305,1.7144,0.7187,https://static.semrush.com/power-pages/media/favicons/www-mymovies-it-favicon-69a901cc.png
msn.com,5,-1,9435643,2.0769,0.6895,https://static.semrush.com/power-pages/media/favicons/msn-com-favicon-84cc977d.ico
comingsoon.it,6,0,9036065,1.7605,0.731,
primevideo.com,7,0,5319067,1.4737,0.8165,https://static.semrush.com/power-pages/media/favicons/primevideo-com-favicon-7e8458b9.png
spotify.com,8,0,5053248,2.6113,0.5337,https://static.semrush.com/power-pages/media/favicons/spotify-com-favicon-ff2831d2.png
disneyplus.com,9,0,4646553,2.2783,0.4339,https://static.semrush.com/power-pages/media/favicons/disneyplus-com-favicon-470cfd62.png
dailymotion.com,10,0,3508833,2.262,0.636,
archiveofourown.org,11,0,3066998,6.0704,0.329,https://static.semrush.com/power-pages/media/favicons/archiveofourown-org-favicon-36c35925.ico
change.org,12,1,2268075,2.4214,0.4923,
wattpad.com,13,1,1995286,5.4266,0.453,
vimeo.com,14,-2,1898393,3.3496,0.5668,https://static.semrush.com/power-pages/media/favicons/vimeo-com-favicon-c9d54cfe.png
discogs.com,15,0,1649071,10.6524,0.3479,https://static.semrush.com/power-pages/media/favicons/discogs-com-favicon-bcb37f5d.png
genius.com,16,0,1318936,3.2725,0.6645,https://static.semrush.com/power-pages/media/favicons/genius-com-favicon-b59f5c6e.ico
amazon.co.uk,17,0,1136257,4.906,0.4849,https://static.semrush.com/power-pages/media/favicons/amazon-co-uk-favicon-ca6619b8.ico
justwatch.com,18,0,992170,1.6571,0.753,https://static.semrush.com/power-pages/media/favicons/www-justwatch-com-favicon-f8c7c1f9.ico
mangakakalot.com,19,0,782015,6.4544,0.3682,https://static.semrush.com/power-pages/media/favicons/mangakakalot-com-favicon-ee8fcad9.ico
gamespot.com,20,0,767836,1.8655,0.7069,https://static.semrush.com/power-pages/media/favicons/gamespot-com-favicon-793fe1ee.png
