id,position,change,visits,pages_per_visit,bounce_rate,favicon
tripadvisor.it,1,1,27969950,2.9518,0.6271,
booking.com,2,-1,25881741,5.6934,0.3781,https://static.semrush.com/power-pages/media/favicons/booking-com-favicon-faedfe66.ico
tripadvisor.com,3,0,2187109,2.2244,0.7256,https://static.semrush.com/power-pages/media/favicons/tripadvisor-com-favicon-34583147.png
rome2rio.com,4,0,1330209,2.2904,0.5221,https://static.semrush.com/power-pages/media/favicons/www-rome2rio-com-favicon-159fe5dc.png
hotels.com,5,0,1235035,3.0197,0.5609,
americanexpress.com,6,0,934955,2.9827,0.4649,https://static.semrush.com/power-pages/media/favicons/americanexpress-com-favicon-974ccc6c.ico
wizzair.com,7,0,668635,3.9103,0.3126,https://static.semrush.com/power-pages/media/favicons/wizzair-com-favicon-a89eb24f.ico
agoda.com,8,0,573862,2.8127,0.4486,https://static.semrush.com/power-pages/media/favicons/agoda-com-favicon-d79c3f25.ico
airbnb.com,9,2,439822,2.9164,0.5812,
viator.com,10,-1,415542,3.024,0.5077,https://static.semrush.com/power-pages/media/favicons/www-viator-com-favicon-4b50a643.ico
trip.com,11,-1,404942,3.6384,0.3683,https://static.semrush.com/power-pages/media/favicons/trip-com-favicon-8230f336.ico
emirates.com,12,0,385873,4.5491,0.312,https://static.semrush.com/power-pages/media/favicons/emirates-com-favicon-07b3fc7d.png
trivago.com,13,0,352787,2.2824,0.5809,
lufthansa.com,14,1,286192,3.7884,0.3559,https://static.semrush.com/power-pages/media/favicons/lufthansa-com-favicon-93972e3d.ico
flytap.com,15,1,250874,3.843,0.3107,https://static.semrush.com/power-pages/media/favicons/flytap-com-favicon-c6c64412.ico
marriott.com,16,1,239182,1.8325,0.726,https://static.semrush.com/power-pages/media/favicons/marriott-com-favicon-ae4adb29.png
busbud.com,17,5,232915,2.553,0.527,https://static.semrush.com/power-pages/media/favicons/www-busbud-com-favicon-bbd92706.ico
klm.com,18,0,229657,2.0698,0.6124,https://static.semrush.com/power-pages/media/favicons/www-klm-com-favicon-06d010a8.ico
wetteronline.de,19,11,229495,2.1247,0.565,https://static.semrush.com/power-pages/media/favicons/wetteronline-de-favicon-3ac89199.jpg
vrbo.com,20,1,227707,3.7579,0.5038,https://static.semrush.com/power-pages/media/favicons/vrbo-com-favicon-7947742b.png
