id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
youtube.com,1,0,897426994,2.7103,0.5674,https://static.semrush.com/power-pages/media/favicons/youtube-com-favicon-88b01f68.png,YouTube
twitter.com,2,1,704355253,1.3344,0.8318,https://static.semrush.com/power-pages/media/favicons/twitter-com-favicon-8ea219d0.png,Twitter
yahoo.co.jp,3,1,702746213,4.0165,0.4331,https://static.semrush.com/power-pages/media/favicons/yahoo-co-jp-favicon-53370746.ico,Yahoo Japan
livedoor.jp,4,-2,674933116,3.7545,0.3589,https://static.semrush.com/power-pages/media/favicons/livedoor-jp-favicon-29a1af5e.ico,Livedoor Japan
google.com,5,0,609751728,2.8005,0.4842,https://static.semrush.com/power-pages/media/favicons/google-com-favicon-f3418a44.ico,Google
blog.jp,6,0,418595063,3.3677,0.4671,https://static.semrush.com/power-pages/media/favicons/blog-jp-favicon-1d8ae99c.png,
wikipedia.org,7,1,325127174,2.0796,0.5819,https://static.semrush.com/power-pages/media/favicons/wikipedia-org-favicon-904ce6bd.ico,Wikipedia
livedoor.com,8,-1,319911353,1.9136,0.7641,https://static.semrush.com/power-pages/media/favicons/livedoor-com-favicon-29a1af5e.ico,Livedoor
pixiv.net,9,0,290575033,2.4369,0.5768,https://static.semrush.com/power-pages/media/favicons/pixiv-net-favicon-059d8d8e.png,Pixiv
5ch.net,10,0,228387008,3.0915,0.433,,
syosetu.com,11,0,226891287,8.4849,0.2813,https://static.semrush.com/power-pages/media/favicons/syosetu-com-favicon-3211534f.png,
rakuten.co.jp,12,4,201363232,3.6699,0.468,,Rakuten Mobile
amazon.co.jp,13,2,194498078,3.1292,0.5149,https://static.semrush.com/power-pages/media/favicons/amazon-co-jp-favicon-ca6619b8.ico,Amazon Japan
fc2.com,14,-2,189966492,2.6613,0.5664,https://static.semrush.com/power-pages/media/favicons/fc2-com-favicon-f30b5ed2.ico,FC2
doorblog.jp,15,-1,165228791,2.4781,0.5543,,
gamewith.jp,16,-3,154945470,2.7602,0.4964,https://static.semrush.com/power-pages/media/favicons/gamewith-jp-favicon-fb21cc87.png,GameWith
nicovideo.jp,17,1,145128053,4.4383,0.4253,https://static.semrush.com/power-pages/media/favicons/nicovideo-jp-favicon-35c5a3fb.png,
livedoor.biz,18,-1,137293180,2.3775,0.5475,,Livedoor.biz
2chblog.jp,19,1,117859532,2.5765,0.5273,,
ameblo.jp,20,3,111847133,1.6227,0.7341,https://static.semrush.com/power-pages/media/favicons/ameblo-jp-favicon-f8f23363.ico,
