id,position,change,visits,pages_per_visit,bounce_rate,favicon
msn.com,1,0,8818449,2.1412,0.7139,https://static.semrush.com/power-pages/media/favicons/msn-com-favicon-84cc977d.ico
bing.com,2,0,3224108,4.2988,0.3927,
netflix.com,3,0,3093912,2.4499,0.6109,https://static.semrush.com/power-pages/media/favicons/netflix-com-favicon-41b45fdc.ico
dailymotion.com,4,0,2550589,2.4408,0.631,
spotify.com,5,0,1044213,2.6514,0.5061,https://static.semrush.com/power-pages/media/favicons/spotify-com-favicon-ff2831d2.png
xfinity.com,6,0,886243,1.3338,0.8853,https://static.semrush.com/power-pages/media/favicons/xfinity-com-favicon-25ce32d4.png
archiveofourown.org,7,0,760604,6.9333,0.3262,https://static.semrush.com/power-pages/media/favicons/archiveofourown-org-favicon-36c35925.ico
change.org,8,0,602580,1.9568,0.603,
discogs.com,9,0,585385,8.0738,0.4997,https://static.semrush.com/power-pages/media/favicons/discogs-com-favicon-bcb37f5d.png
mangakakalot.com,10,0,449294,7.7791,0.2175,https://static.semrush.com/power-pages/media/favicons/mangakakalot-com-favicon-ee8fcad9.ico
vimeo.com,11,0,433423,2.4039,0.6598,https://static.semrush.com/power-pages/media/favicons/vimeo-com-favicon-c9d54cfe.png
cheatsheet.com,12,0,267302,1.4266,0.7711,https://static.semrush.com/power-pages/media/favicons/cheatsheet-com-favicon-9c12058f.png
rottentomatoes.com,13,0,224142,1.4906,0.7558,https://static.semrush.com/power-pages/media/favicons/rottentomatoes-com-favicon-c1d0090d.jpg
wattpad.com,14,2,194133,5.4707,0.4354,
amazon.co.uk,15,-1,191209,5.3012,0.473,https://static.semrush.com/power-pages/media/favicons/amazon-co-uk-favicon-ca6619b8.ico
tvtropes.org,16,-1,164691,4.7687,0.4088,
riotgames.com,17,10,156959,1.5392,0.7557,
gamespot.com,18,0,149359,9.218,0.4505,https://static.semrush.com/power-pages/media/favicons/gamespot-com-favicon-793fe1ee.png
disneyplus.com,19,4,148164,2.0396,0.4761,https://static.semrush.com/power-pages/media/favicons/disneyplus-com-favicon-470cfd62.png
viki.com,20,-1,113539,1.688,0.6162,https://static.semrush.com/power-pages/media/favicons/www-viki-com-favicon-f802e190.jpg
