id,position,change,visits,pages_per_visit,bounce_rate,favicon
wikipedia.org,1,0,281644048,2.0187,0.6713,https://static.semrush.com/power-pages/media/favicons/wikipedia-org-favicon-904ce6bd.ico
twitter.com,2,0,254722668,6.0574,0.4452,https://static.semrush.com/power-pages/media/favicons/twitter-com-favicon-8ea219d0.png
youtube.com,3,0,87395179,4.4799,0.4887,https://static.semrush.com/power-pages/media/favicons/youtube-com-favicon-88b01f68.png
instagram.com,4,0,72975954,4.1101,0.5055,https://static.semrush.com/power-pages/media/favicons/instagram-com-favicon-b407fa10.png
nikkei.com,5,0,36357364,2.3864,0.5184,https://static.semrush.com/power-pages/media/favicons/nikkei-com-favicon-79352c33.png
reuters.com,6,0,4690640,1.9891,0.6369,https://static.semrush.com/power-pages/media/favicons/reuters-com-favicon-3d79a36b.png
bbc.com,7,0,3847962,2.8215,0.5608,https://static.semrush.com/power-pages/media/favicons/bbc-com-favicon-65d5fda0.jpg
globo.com,8,0,2828549,3.1668,0.3702,https://static.semrush.com/power-pages/media/favicons/globo-com-favicon-1f6a2453.png
goal.com,9,0,2379886,2.1608,0.661,https://static.semrush.com/power-pages/media/favicons/goal-com-favicon-f02a1ed1.png
uol.com.br,10,0,2336408,3.364,0.3974,https://static.semrush.com/power-pages/media/favicons/uol-com-br-favicon-a5565959.png
joins.com,11,0,1973539,2.6181,0.2889,https://static.semrush.com/power-pages/media/favicons/joins-com-favicon-3a81410f.png
orf.at,12,1,1577054,3.7631,0.2263,https://static.semrush.com/power-pages/media/favicons/orf-at-favicon-4f1dc8fb.png
cnn.com,13,-1,937095,2.258,0.4799,https://static.semrush.com/power-pages/media/favicons/cnn-com-favicon-43177be7.ico
imdb.com,14,1,757710,3.4807,0.5061,https://static.semrush.com/power-pages/media/favicons/imdb-com-favicon-0f70e9b9.png
bbc.co.uk,15,-1,729527,2.1614,0.5602,https://static.semrush.com/power-pages/media/favicons/bbc-co-uk-favicon-4f3b9e56.ico
sputniknews.com,16,0,527070,1.6666,0.5758,https://static.semrush.com/power-pages/media/favicons/sputniknews-com-favicon-9e57a519.png
theguardian.com,17,0,512005,2.818,0.4839,https://static.semrush.com/power-pages/media/favicons/theguardian-com-favicon-fee5e2d6.png
moneycontrol.com,18,2,454752,5.5404,0.4365,
vnexpress.net,19,-1,420474,3.9145,0.3918,https://static.semrush.com/power-pages/media/favicons/vnexpress-net-favicon-c8f325f5.png
foxnews.com,20,-1,378003,2.6362,0.472,https://static.semrush.com/power-pages/media/favicons/foxnews-com-favicon-bfeed514.png
