id,position,change,visits,pages_per_visit,bounce_rate,favicon
msn.com,1,0,3400859,2.2808,0.6798,https://static.semrush.com/power-pages/media/favicons/msn-com-favicon-84cc977d.ico
netflix.com,2,0,2602829,2.0396,0.661,https://static.semrush.com/power-pages/media/favicons/netflix-com-favicon-41b45fdc.ico
archiveofourown.org,3,0,1409390,7.9303,0.2787,https://static.semrush.com/power-pages/media/favicons/archiveofourown-org-favicon-36c35925.ico
spotify.com,4,0,892123,2.5661,0.5296,https://static.semrush.com/power-pages/media/favicons/spotify-com-favicon-ff2831d2.png
amazon.co.uk,5,0,696429,5.6532,0.4578,https://static.semrush.com/power-pages/media/favicons/amazon-co-uk-favicon-ca6619b8.ico
adorocinema.com,6,0,614161,1.8976,0.6801,https://static.semrush.com/power-pages/media/favicons/www-adorocinema-com-favicon-d8f23cc2.png
bing.com,7,0,562014,4.5151,0.4298,
mangakakalot.com,8,2,480947,5.2083,0.3498,https://static.semrush.com/power-pages/media/favicons/mangakakalot-com-favicon-ee8fcad9.ico
disneyplus.com,9,0,452873,2.2975,0.4989,https://static.semrush.com/power-pages/media/favicons/disneyplus-com-favicon-470cfd62.png
wattpad.com,10,1,405953,6.478,0.4887,
dailymotion.com,11,-3,404766,2.9627,0.5578,
myanimelist.net,12,1,313086,6.9972,0.3029,https://static.semrush.com/power-pages/media/favicons/myanimelist-net-favicon-d7330877.ico
rottentomatoes.com,13,6,290472,2.2212,0.5847,https://static.semrush.com/power-pages/media/favicons/rottentomatoes-com-favicon-c1d0090d.jpg
filmstarts.de,14,-2,269185,6.4286,0.0857,https://static.semrush.com/power-pages/media/favicons/www-filmstarts-de-favicon-82a5860e.ico
vimeo.com,15,-1,266512,2.5808,0.6108,https://static.semrush.com/power-pages/media/favicons/vimeo-com-favicon-c9d54cfe.png
genius.com,16,-1,249636,1.9593,0.719,https://static.semrush.com/power-pages/media/favicons/genius-com-favicon-b59f5c6e.ico
gamespot.com,17,5,237789,1.6565,0.7416,https://static.semrush.com/power-pages/media/favicons/gamespot-com-favicon-793fe1ee.png
vagalume.com.br,18,2,211766,1.7139,0.7698,https://static.semrush.com/power-pages/media/favicons/www-vagalume-com-br-favicon-016b10f2.jpg
discogs.com,19,4,210513,6.9108,0.4217,https://static.semrush.com/power-pages/media/favicons/discogs-com-favicon-bcb37f5d.png
crunchyroll.com,20,-2,208336,3.025,0.4277,
