id,position,change,visits,pages_per_visit,bounce_rate,favicon
live.com,1,0,10462571,4.3268,0.2759,
hotmail.com,2,0,4842002,1.0653,0.8481,
office.com,3,0,2930660,2.1982,0.5638,https://static.semrush.com/power-pages/media/favicons/office-com-favicon-8f211ea6.ico
fbcdn.net,4,0,2264116,2.4254,0.6728,https://static.semrush.com/power-pages/media/favicons/fbcdn-net-favicon-7e765f1c.ico
outlook.com,5,0,1187700,1.3533,0.76,https://static.semrush.com/power-pages/media/favicons/outlook-com-favicon-ac16fa7f.ico
wordpress.com,6,1,889061,1.946,0.6906,https://static.semrush.com/power-pages/media/favicons/wordpress-com-favicon-f9797465.png
stackoverflow.com,7,-1,811853,1.3782,0.812,https://static.semrush.com/power-pages/media/favicons/stackoverflow-com-favicon-d2a17223.ico
wetransfer.com,8,0,787618,2.1672,0.5274,https://static.semrush.com/power-pages/media/favicons/wetransfer-com-favicon-bc5b180f.png
gemius.com,9,0,724337,1.1574,0.9417,https://static.semrush.com/power-pages/media/favicons/gemius-com-favicon-ede9b31b.ico
mediafire.com,10,2,399532,2.2491,0.5695,
trello.com,11,0,334325,1.6012,0.658,https://static.semrush.com/power-pages/media/favicons/trello-com-favicon-18746ed5.png
y2mate.com,12,1,310453,3.196,0.4943,https://static.semrush.com/power-pages/media/favicons/y2mate-com-favicon-ecbe24fe.png
dropbox.com,13,2,278162,2.7165,0.5689,https://static.semrush.com/power-pages/media/favicons/dropbox-com-favicon-5346f07d.png
godaddy.com,14,0,267994,3.8394,0.3837,https://static.semrush.com/power-pages/media/favicons/godaddy-com-favicon-c4d543d1.png
speedtest.net,15,1,262410,1.5946,0.7216,https://static.semrush.com/power-pages/media/favicons/speedtest-net-favicon-b9ced8c4.png
asus.com,16,1,249416,3.1338,0.5412,
lenovo.com,17,2,233816,2.7744,0.4426,
azure.com,18,2,219828,2.8587,0.3818,https://static.semrush.com/power-pages/media/favicons/azure-com-favicon-4a04df31.png
mozilla.org,19,2,214844,1.5506,0.7375,https://static.semrush.com/power-pages/media/favicons/mozilla-org-favicon-2af054fe.png
doubleclick.net,20,-10,191479,1.2593,0.8388,https://static.semrush.com/power-pages/media/favicons/doubleclick-net-favicon-bf09e67f.png
