id,position,change,visits,pages_per_visit,bounce_rate,favicon
sapo.pt,1,1,38112859,3.3794,0.5435,
youtube.com,2,-1,34635999,3.7459,0.4697,https://static.semrush.com/power-pages/media/favicons/youtube-com-favicon-88b01f68.png
abola.pt,3,0,20895436,4.0206,0.4647,https://static.semrush.com/power-pages/media/favicons/abola-pt-favicon-b54746cf.png
noticiasaominuto.com,4,0,20153507,1.754,0.6657,https://static.semrush.com/power-pages/media/favicons/noticiasaominuto-com-favicon-b6d6c16d.png
wikipedia.org,5,0,17793531,1.9284,0.682,https://static.semrush.com/power-pages/media/favicons/wikipedia-org-favicon-904ce6bd.ico
record.pt,6,0,13357590,3.5286,0.501,https://static.semrush.com/power-pages/media/favicons/www-record-pt-favicon-d2a35318.png
iol.pt,7,0,11569198,2.1848,0.6254,https://static.semrush.com/power-pages/media/favicons/www-iol-pt-favicon-cabb136e.ico
cmjornal.pt,8,0,10584955,2.2465,0.6311,https://static.semrush.com/power-pages/media/favicons/www-cmjornal-pt-favicon-b87940fa.png
instagram.com,9,0,9056837,4.8096,0.4972,https://static.semrush.com/power-pages/media/favicons/instagram-com-favicon-b407fa10.png
ojogo.pt,10,1,6993225,2.654,0.555,https://static.semrush.com/power-pages/media/favicons/www-ojogo-pt-favicon-019c7956.png
jn.pt,11,-1,6911421,2.1554,0.666,https://static.semrush.com/power-pages/media/favicons/www-jn-pt-favicon-86677be4.png
publico.pt,12,0,6602770,1.9964,0.6447,https://static.semrush.com/power-pages/media/favicons/www-publico-pt-favicon-d5ac805f.png
globo.com,13,0,6574162,2.6797,0.5016,https://static.semrush.com/power-pages/media/favicons/globo-com-favicon-1f6a2453.png
uol.com.br,14,1,5475669,2.6668,0.5762,https://static.semrush.com/power-pages/media/favicons/uol-com-br-favicon-a5565959.png
observador.pt,15,-1,5371615,1.5401,0.743,
zerozero.pt,16,0,4753938,5.6209,0.4346,https://static.semrush.com/power-pages/media/favicons/www-zerozero-pt-favicon-024cb8ef.ico
twitter.com,17,0,4559514,3.4229,0.5119,https://static.semrush.com/power-pages/media/favicons/twitter-com-favicon-8ea219d0.png
tempo.pt,18,2,3703283,2.0671,0.6289,https://static.semrush.com/power-pages/media/favicons/www-tempo-pt-favicon-ed995a2e.png
dn.pt,19,0,3674841,2.0895,0.6755,https://static.semrush.com/power-pages/media/favicons/www-dn-pt-favicon-8089b101.png
rtp.pt,20,-2,3438980,2.4107,0.6168,
