id,position,change,visits,pages_per_visit,bounce_rate,favicon
booking.com,1,0,3894245,5.5673,0.3985,https://static.semrush.com/power-pages/media/favicons/booking-com-favicon-faedfe66.ico
tripadvisor.pt,2,0,2366449,2.8927,0.6429,
flytap.com,3,0,1192683,3.787,0.4018,https://static.semrush.com/power-pages/media/favicons/flytap-com-favicon-c6c64412.ico
tripadvisor.com,4,0,512542,2.8692,0.6203,https://static.semrush.com/power-pages/media/favicons/tripadvisor-com-favicon-34583147.png
tripadvisor.com.br,5,0,367069,2.0029,0.6885,
rome2rio.com,6,3,170963,2.4499,0.4643,https://static.semrush.com/power-pages/media/favicons/www-rome2rio-com-favicon-159fe5dc.png
airbnb.com,7,0,163876,3.4236,0.5318,
agoda.com,8,-2,140469,2.8003,0.4312,https://static.semrush.com/power-pages/media/favicons/agoda-com-favicon-d79c3f25.ico
viator.com,9,-1,119913,2.8796,0.4725,https://static.semrush.com/power-pages/media/favicons/www-viator-com-favicon-4b50a643.ico
trivago.com,10,1,112376,2.3526,0.5157,
tripadvisor.fr,11,14,101796,2.5293,0.609,https://static.semrush.com/power-pages/media/favicons/www-tripadvisor-fr-favicon-34583147.png
emirates.com,12,3,88443,4.2544,0.398,https://static.semrush.com/power-pages/media/favicons/emirates-com-favicon-07b3fc7d.png
busbud.com,13,-1,84973,2.8921,0.5152,https://static.semrush.com/power-pages/media/favicons/www-busbud-com-favicon-bbd92706.ico
lufthansa.com,14,-1,81670,4.631,0.2575,https://static.semrush.com/power-pages/media/favicons/lufthansa-com-favicon-93972e3d.ico
marriott.com,15,1,67146,2.7507,0.498,https://static.semrush.com/power-pages/media/favicons/marriott-com-favicon-ae4adb29.png
britishairways.com,16,2,55718,3.7557,0.4026,https://static.semrush.com/power-pages/media/favicons/britishairways-com-favicon-f335ce5f.ico
tripadvisor.co.uk,17,0,54214,2.6339,0.6719,
tripadvisor.es,18,8,50959,3.2466,0.5794,
wizzair.com,19,3,49864,4.843,0.3254,https://static.semrush.com/power-pages/media/favicons/wizzair-com-favicon-a89eb24f.ico
hotels.com,20,4,49178,2.5029,0.5948,
