id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
youtube.com,1,1,3615276992,6.0732,0.2781,https://static.semrush.com/power-pages/media/favicons/youtube-com-favicon-88b01f68.png,YouTube
google.com,2,-1,1639767130,4.5035,0.3731,https://static.semrush.com/power-pages/media/favicons/google-com-favicon-f3418a44.ico,Google
naver.com,3,0,1055993594,10.269,0.3009,https://static.semrush.com/power-pages/media/favicons/naver-com-favicon-ca634037.png,Naver
dcinside.com,4,1,382844339,20.0044,0.227,https://static.semrush.com/power-pages/media/favicons/dcinside-com-favicon-6fbb786e.ico,
tistory.com,5,-1,310041423,1.8898,0.7126,,Tistory
daum.net,6,0,212795548,6.74,0.3429,,Daum
coupang.com,7,1,160235041,3.8827,0.6011,,Coupang
fmkorea.com,8,4,142080613,35.287,0.2318,https://static.semrush.com/power-pages/media/favicons/fmkorea-com-favicon-2f3751be.png,
google.co.kr,9,-2,137837187,4.3303,0.365,,Google Korea
twitch.tv,10,-1,118285483,2.2522,0.6194,https://static.semrush.com/power-pages/media/favicons/twitch-tv-favicon-d6025c14.png,Twitch
twitter.com,11,4,110226299,1.9049,0.6821,https://static.semrush.com/power-pages/media/favicons/twitter-com-favicon-8ea219d0.png,Twitter
kakao.com,12,-2,103090027,2.4523,0.6154,,
instagram.com,13,-2,98717150,2.7994,0.5775,https://static.semrush.com/power-pages/media/favicons/instagram-com-favicon-b407fa10.png,Instagram
inven.co.kr,14,2,91869994,10.1573,0.3532,https://static.semrush.com/power-pages/media/favicons/inven-co-kr-favicon-14d36ad1.ico,INVEN
ruliweb.com,15,3,90458081,18.6454,0.3284,https://static.semrush.com/power-pages/media/favicons/ruliweb-com-favicon-e086b444.png,Ruliweb
facebook.com,16,-2,85588645,3.0457,0.4828,https://static.semrush.com/power-pages/media/favicons/facebook-com-favicon-d2850d31.ico,Facebook
nexon.com,17,-4,80273758,7.2754,0.2035,,NEXON
ilbe.com,18,0,78748654,21.1188,0.1373,,
theqoo.net,19,2,69110982,19.4878,0.2087,https://static.semrush.com/power-pages/media/favicons/theqoo-net-favicon-03f47532.png,
noonoo.tv,20,0,65452702,4.5882,0.3783,,
