id,position,change,visits,pages_per_visit,bounce_rate,favicon
yahoo.com,1,0,22781006,3.4818,0.4279,
etoro.com,2,0,11697761,3.0997,0.6894,https://static.semrush.com/power-pages/media/favicons/etoro-com-favicon-8d34d8eb.png
investing.com,3,0,10634141,3.4485,0.4981,https://static.semrush.com/power-pages/media/favicons/investing-com-favicon-dcdc244b.png
paypal.com,4,2,6089647,4.5551,0.3164,https://static.semrush.com/power-pages/media/favicons/paypal-com-favicon-ed31bc43.png
coinmarketcap.com,5,-1,5665017,2.8782,0.5004,https://static.semrush.com/power-pages/media/favicons/coinmarketcap-com-favicon-e687767a.png
binance.com,6,-1,4892552,6.1196,0.299,https://static.semrush.com/power-pages/media/favicons/binance-com-favicon-43365839.ico
coingecko.com,7,0,3497623,9.8007,0.4378,https://static.semrush.com/power-pages/media/favicons/coingecko-com-favicon-32358cfd.png
tradingview.com,8,0,2562534,2.1702,0.5346,https://static.semrush.com/power-pages/media/favicons/tradingview-com-favicon-5ce990e1.png
doviz.com,9,0,1233845,2.3994,0.4167,https://static.semrush.com/power-pages/media/favicons/doviz-com-favicon-1f26d085.ico
coinbase.com,10,0,1008582,3.147,0.53,
bscscan.com,11,0,935259,4.4535,0.3847,https://static.semrush.com/power-pages/media/favicons/bscscan-com-favicon-0d16331c.ico
xe.com,12,1,908562,1.5711,0.7088,https://static.semrush.com/power-pages/media/favicons/xe-com-favicon-592e3c52.ico
adyen.com,13,-1,849343,1.8563,0.495,https://static.semrush.com/power-pages/media/favicons/adyen-com-favicon-a500963f.png
americanexpress.com,14,5,457791,2.5937,0.5621,https://static.semrush.com/power-pages/media/favicons/americanexpress-com-favicon-974ccc6c.ico
marketwatch.com,15,-1,454880,3.8446,0.4025,https://static.semrush.com/power-pages/media/favicons/marketwatch-com-favicon-524c7e48.png
reuters.com,16,0,382596,1.3773,0.8132,https://static.semrush.com/power-pages/media/favicons/reuters-com-favicon-3d79a36b.png
bloomberg.com,17,0,360056,1.651,0.6894,
westernunion.com,18,2,351918,4.1223,0.3234,https://static.semrush.com/power-pages/media/favicons/westernunion-com-favicon-4522e952.png
investopedia.com,19,-1,344018,1.2631,0.8585,https://static.semrush.com/power-pages/media/favicons/investopedia-com-favicon-e0739bd2.png
bankofamerica.com,20,2,310828,4.5276,0.584,https://static.semrush.com/power-pages/media/favicons/bankofamerica-com-favicon-67af3bbd.png
