id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
youtube.com,1,0,414656181,3.0643,0.539,https://static.semrush.com/power-pages/media/favicons/youtube-com-favicon-88b01f68.png,YouTube
google.com,2,0,291706862,4.6387,0.3578,https://static.semrush.com/power-pages/media/favicons/google-com-favicon-f3418a44.ico,Google
free.fr,3,0,94503098,2.911,0.2119,https://static.semrush.com/power-pages/media/favicons/free-fr-favicon-46d6d495.png,Free Mobile
facebook.com,4,-1,82376937,3.4524,0.4499,https://static.semrush.com/power-pages/media/favicons/facebook-com-favicon-d2850d31.ico,Facebook
google.co.th,5,-1,46741579,3.9823,0.4061,,
shopee.co.th,6,-1,42791218,3.2822,0.5429,https://static.semrush.com/power-pages/media/favicons/shopee-co-th-favicon-c5618c85.ico,Shopee Thailand
tagged.com,7,0,30333568,1.9993,0.5465,,
lazada.co.th,8,0,29058502,5.1198,0.4744,https://static.semrush.com/power-pages/media/favicons/lazada-co-th-favicon-01aa976b.ico,Lazada Thailand
pantip.com,9,-3,28234484,2.6446,0.5885,https://static.semrush.com/power-pages/media/favicons/pantip-com-favicon-c3e3aa63.ico,Pantip
roblox.com,10,0,25376132,8.1503,0.2142,,Roblox
wikipedia.org,11,-2,24822287,2.0982,0.642,https://static.semrush.com/power-pages/media/favicons/wikipedia-org-favicon-904ce6bd.ico,Wikipedia
xvideos.com,12,-5,24159024,7.1281,0.2782,,Xvideos
sanook.com,13,0,19290630,1.6612,0.7519,https://static.semrush.com/power-pages/media/favicons/sanook-com-favicon-df44232a.png,Sanook
twitter.com,14,-3,18914002,2.3812,0.696,https://static.semrush.com/power-pages/media/favicons/twitter-com-favicon-8ea219d0.png,Twitter
blogspot.com,15,-3,17010907,3.1108,0.5809,,Blogspot
line.me,16,2,14907546,1.9244,0.5676,,
spankbang.com,17,-2,14513774,6.9061,0.3387,https://static.semrush.com/power-pages/media/favicons/spankbang-com-favicon-17110d01.png,
xnxx.com,18,-4,13996914,6.8549,0.2744,,Xnxx
kapook.com,19,-3,13916181,2.7297,0.5207,,Kapook
instagram.com,20,0,12877942,2.4522,0.6076,https://static.semrush.com/power-pages/media/favicons/instagram-com-favicon-b407fa10.png,Instagram
