id,position,change,visits,pages_per_visit,bounce_rate,favicon
netflix.com,1,0,22597350,2.6628,0.573,https://static.semrush.com/power-pages/media/favicons/netflix-com-favicon-41b45fdc.ico
dailymotion.com,2,0,6576634,1.776,0.7247,
msn.com,3,1,5164094,1.8648,0.7454,https://static.semrush.com/power-pages/media/favicons/msn-com-favicon-84cc977d.ico
spotify.com,4,-1,4884912,2.7676,0.4854,https://static.semrush.com/power-pages/media/favicons/spotify-com-favicon-ff2831d2.png
wattpad.com,5,0,2205820,7.8719,0.3948,
bing.com,6,3,1386024,4.1054,0.4905,
change.org,7,5,1369117,2.5476,0.4839,
amazon.co.uk,8,-1,1235648,4.1121,0.5632,https://static.semrush.com/power-pages/media/favicons/amazon-co-uk-favicon-ca6619b8.ico
riotgames.com,9,-3,1182093,2.735,0.5298,
genius.com,10,0,1174267,1.6676,0.7547,https://static.semrush.com/power-pages/media/favicons/genius-com-favicon-b59f5c6e.ico
archiveofourown.org,11,-3,1095041,7.5913,0.3249,https://static.semrush.com/power-pages/media/favicons/archiveofourown-org-favicon-36c35925.ico
vimeo.com,12,1,1017241,2.9129,0.5797,https://static.semrush.com/power-pages/media/favicons/vimeo-com-favicon-c9d54cfe.png
myanimelist.net,13,2,742957,6.7343,0.3876,https://static.semrush.com/power-pages/media/favicons/myanimelist-net-favicon-d7330877.ico
mangakakalot.com,14,0,611122,7.6233,0.295,https://static.semrush.com/power-pages/media/favicons/mangakakalot-com-favicon-ee8fcad9.ico
mubi.com,15,2,522316,2.2595,0.5989,
mydramalist.com,16,4,505513,7.0354,0.4631,https://static.semrush.com/power-pages/media/favicons/mydramalist-com-favicon-25e516fc.png
novelupdates.com,17,-1,501666,6.6809,0.314,
rottentomatoes.com,18,0,447521,1.869,0.6499,https://static.semrush.com/power-pages/media/favicons/rottentomatoes-com-favicon-c1d0090d.jpg
express.co.uk,19,0,370059,1.5916,0.7479,https://static.semrush.com/power-pages/media/favicons/express-co-uk-favicon-e215bddb.png
viki.com,20,0,336189,3.2235,0.5269,https://static.semrush.com/power-pages/media/favicons/www-viki-com-favicon-f802e190.jpg
