id,position,change,visits,pages_per_visit,bounce_rate,favicon
paypal.com,1,0,71466924,3.7816,0.3574,https://static.semrush.com/power-pages/media/favicons/paypal-com-favicon-ed31bc43.png
office.com,2,0,55716154,2.5198,0.4875,https://static.semrush.com/power-pages/media/favicons/office-com-favicon-8f211ea6.ico
stackoverflow.com,3,0,18298277,1.3465,0.8212,https://static.semrush.com/power-pages/media/favicons/stackoverflow-com-favicon-d2a17223.ico
github.com,4,0,16626158,3.129,0.5454,https://static.semrush.com/power-pages/media/favicons/github-com-favicon-346e0947.png
discord.com,5,3,14059329,1.8362,0.6001,https://static.semrush.com/power-pages/media/favicons/discord-com-favicon-07dca80a.ico
imgur.com,6,0,13928316,3.299,0.4749,https://static.semrush.com/power-pages/media/favicons/imgur-com-favicon-c0c62393.png
zoom.us,7,-2,13337030,2.9025,0.3731,https://static.semrush.com/power-pages/media/favicons/zoom-us-favicon-6216d0f4.ico
wordpress.com,8,-1,12403065,2.1537,0.6513,https://static.semrush.com/power-pages/media/favicons/wordpress-com-favicon-f9797465.png
stackexchange.com,9,0,10472555,1.2037,0.873,https://static.semrush.com/power-pages/media/favicons/stackexchange-com-favicon-52965f0b.ico
adobe.com,10,1,9055116,2.0773,0.6961,https://static.semrush.com/power-pages/media/favicons/adobe-com-favicon-9940bec6.png
medium.com,11,-1,7658477,1.4201,0.7894,https://static.semrush.com/power-pages/media/favicons/medium-com-favicon-18758d01.png
dropbox.com,12,0,6259946,2.8643,0.538,https://static.semrush.com/power-pages/media/favicons/dropbox-com-favicon-5346f07d.png
skype.com,13,17,5337325,1.8921,0.6697,
canva.com,14,0,5144124,4.2557,0.3326,
shopify.com,15,4,5127917,3.1226,0.5619,https://static.semrush.com/power-pages/media/favicons/shopify-com-favicon-4243a4e2.jpg
eventbrite.co.uk,16,-3,4924835,2.4308,0.5697,
wetransfer.com,17,-2,4571366,2.1148,0.5102,https://static.semrush.com/power-pages/media/favicons/wetransfer-com-favicon-bc5b180f.png
w3schools.com,18,0,4383199,2.7531,0.6278,
qualtrics.com,19,-2,4244750,1.7679,0.6749,https://static.semrush.com/power-pages/media/favicons/qualtrics-com-favicon-0a491c21.png
mozilla.org,20,3,3961821,1.4621,0.7738,https://static.semrush.com/power-pages/media/favicons/mozilla-org-favicon-2af054fe.png
