id,position,change,visits,pages_per_visit,bounce_rate,favicon
healthline.com,1,0,209979370,1.5962,0.786,
nih.gov,2,1,155692539,1.9638,0.7164,https://static.semrush.com/power-pages/media/favicons/nih-gov-favicon-6c30e540.ico
webmd.com,3,-1,149633190,1.5463,0.7469,
cvs.com,4,0,136631280,3.1418,0.3695,
walgreens.com,5,0,121990991,3.4415,0.4092,https://static.semrush.com/power-pages/media/favicons/walgreens-com-favicon-8bdcdc59.ico
mayoclinic.org,6,0,101221024,1.4887,0.8057,
cdc.gov,7,0,64408184,1.9786,0.6847,https://static.semrush.com/power-pages/media/favicons/cdc-gov-favicon-8f23f529.ico
medicalnewstoday.com,8,0,58971320,1.1942,0.8746,https://static.semrush.com/power-pages/media/favicons/medicalnewstoday-com-favicon-28e75580.png
va.gov,9,0,47208034,4.667,0.3853,
drugs.com,10,0,39958153,1.7659,0.7334,https://static.semrush.com/power-pages/media/favicons/drugs-com-favicon-27cb02f1.png
sciencedirect.com,11,0,36409565,1.5905,0.7075,
tomsguide.com,12,0,27971869,1.7885,0.7986,https://static.semrush.com/power-pages/media/favicons/tomsguide-com-favicon-a9a9968c.ico
menshealth.com,13,0,24991300,1.4239,0.7943,https://static.semrush.com/power-pages/media/favicons/menshealth-com-favicon-9165b408.ico
uhc.com,14,0,24314881,3.5071,0.4139,https://static.semrush.com/power-pages/media/favicons/uhc-com-favicon-1d2a96f7.ico
kaiserpermanente.org,15,0,22084431,5.147,0.3366,https://static.semrush.com/power-pages/media/favicons/kaiserpermanente-org-favicon-ed26410b.png
fitbit.com,16,0,21605969,3.0859,0.4625,https://static.semrush.com/power-pages/media/favicons/fitbit-com-favicon-c6aa1bcf.png
nature.com,17,0,16370853,1.5471,0.762,https://static.semrush.com/power-pages/media/favicons/nature-com-favicon-f39cb194.png
medscape.com,18,0,13670865,2.0416,0.6463,https://static.semrush.com/power-pages/media/favicons/medscape-com-favicon-d7be632c.ico
cigna.com,19,0,12779566,4.0535,0.3946,https://static.semrush.com/power-pages/media/favicons/cigna-com-favicon-c87d9fca.ico
springer.com,20,0,11452678,1.8166,0.7909,https://static.semrush.com/power-pages/media/favicons/springer-com-favicon-861e460c.jpg
